,0
SIMULATION_TYPE,SINGLE_SCHOOL_COST_MODEL
TRUESKILL_DIST,"('NORMAL', 0, 1)"
FEATURE_DIST,"('NORMAL', 0, 1)"
FEATURE_DIST_B0,"('NORMAL', 0, 1)"
FEATURE_DIST_B1,"('NORMAL', 0, 2)"
NUM_FEATURES,2
NUM_GROUPS,2
NUM_STUDENTS,1000
FRACTIONS_GROUPS,"[0.5, 0.5]"
SKILL_ESTIMATION_FUNCTION,normal_learning_aware
ADMISSION_FUNCTION,estimated_skill_ranking
FEATURES_TO_USE,0
SCHOOL_QUALITY,random
NUM_SCHOOL_TYPES,1
FRACTIONS_SCHOOL_TYPES,[1]
NUM_SCHOOLS,1
FEATURES_TO_USE_0,0
FEATURES_TO_USE_1,-1
CAPACITY,0.1
DO_STUDENT_BUDGETS,False
DO_AFFIRMATIVE_ACTION,False
BINARY_SEARCH_NUM_THRESHOLDS,250
FEATURE_DIST_A0,"('NORMAL', 0, 1)"
FEATURE_DIST_A1,"('NORMAL', 0, 1)"
STUDENT_UTILITY,5
FEATURES_TO_USE_a,0
STUDENT_TEST_COST,"{'A': 0.5, 'B': 3}"
TRUESKILL_DIST_A,"('NORMAL', 0, 1)"
TRUESKILL_DIST_B,"('NORMAL', 0, 1)"
GROUPS,"['A', 'B']"
SKILL_ESTIMATION_FUNCTION_a,normal_learning_aware
CAPACITY_a,0.1
ADMISSION_FUNCTION_a,estimated_skill_ranking
